,Year,G,Pos,AST,BLK,Player,FG,STL,PTS,TRB,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
3464,1989.0,53.0,C,38.0,81.0,James Donaldson,193.0,24.0,481.0,570.0,6.860377358490566,4.89622641509434,11.756603773584905,9.075471698113207,0.7169811320754716,10.754716981132075,1.5283018867924532,0.4528301886792453,3.6415094339622636
687,1981.0,82.0,SF,122.0,15.0,Wally Walker,290.0,53.0,689.0,315.0,6.532926829268294,1.7853658536585366,8.31829268292683,8.402439024390244,1.4878048780487805,3.8414634146341466,0.18292682926829268,0.6463414634146342,3.5365853658536586
2282,1986.0,36.0,SG,29.0,4.0,Craig Ehlo,36.0,11.0,98.0,46.0,2.1666666666666665,0.6361111111111112,2.8027777777777776,2.7222222222222223,0.8055555555555556,1.2777777777777777,0.1111111111111111,0.3055555555555556,1.0
2392,1986.0,66.0,SF,52.0,7.0,Bill Martin,143.0,21.0,332.0,102.0,3.895454545454545,0.7454545454545455,4.640909090909091,5.03030303030303,0.7878787878787878,1.5454545454545454,0.10606060606060606,0.3181818181818182,2.1666666666666665
3124,1988.0,4.0,SF,0.0,0.0,Kannard Johnson,1.0,1.0,2.0,0.0,0.375,0.075,0.45,0.5,0.0,0.0,0.0,0.25,0.25
871,1982.0,11.0,SG,5.0,0.0,Tracy Jackson,10.0,3.0,26.0,12.0,1.836363636363636,0.5181818181818183,2.3545454545454545,2.363636363636364,0.4545454545454545,1.0909090909090908,0.0,0.2727272727272727,0.9090909090909092
384,1981.0,82.0,SF,383.0,3.0,Allan Bristow,271.0,63.0,713.0,430.0,7.351219512195121,2.3390243902439027,9.690243902439024,8.695121951219512,4.670731707317073,5.243902439024391,0.03658536585365853,0.7682926829268293,3.304878048780488
3545,1989.0,67.0,PG,181.0,0.0,Frank Johnson,109.0,42.0,294.0,79.0,3.7746268656716415,0.6597014925373135,4.434328358208955,4.388059701492537,2.7014925373134333,1.1791044776119404,0.0,0.6268656716417911,1.6268656716417909
928,1982.0,79.0,PG,457.0,15.0,Allen Leavell,370.0,150.0,864.0,168.0,9.281012658227848,1.4772151898734178,10.758227848101264,10.936708860759492,5.7848101265822764,2.1265822784810124,0.18987341772151897,1.8987341772151896,4.6835443037974684
1701,1984.0,79.0,C,76.0,34.0,Audie Norris,124.0,30.0,352.0,257.0,3.4683544303797467,1.5443037974683549,5.012658227848102,4.4556962025316444,0.9620253164556962,3.2531645569620253,0.4303797468354431,0.37974683544303794,1.5696202531645569
